sr_no,prayer_date,suhoor_end,fajr_begin,sunrise_begin,zawaal_begin,zuhr_begin,asr_begin,sunset_begin,maghrib_begin,isha_begin,fajr_jamaat,zuhr_jamaat,asr_jamaat,maghrib_jamaat,isha_jamaat,jumu-ah_jamaat,eid_jamaat
26,26-Jan,6:17 AM,6:22 AM,8:00 AM,12:22 PM,12:28 PM,3:05 PM,4:52 PM,4:54 PM,6:24 PM,7:00 AM,1:00 PM,3:30 PM,4:54 PM,6:45 PM,1:00 PM,9:00 AM
27,27-Jan,6:16 AM,6:21 AM,7:58 AM,12:22 PM,12:28 PM,3:07 PM,4:53 PM,4:56 PM,6:26 PM,7:00 AM,1:00 PM,3:30 PM,4:56 PM,6:45 PM,1:00 PM,9:00 AM
28,28-Jan,6:14 AM,6:19 AM,7:57 AM,12:22 PM,12:28 PM,3:08 PM,4:55 PM,4:58 PM,6:27 PM,7:00 AM,1:00 PM,3:30 PM,4:58 PM,6:45 PM,1:00 PM,9:00 AM
29,29-Jan,6:13 AM,6:18 AM,7:56 AM,12:23 PM,12:29 PM,3:10 PM,4:57 PM,5:00 PM,6:29 PM,7:00 AM,1:00 PM,3:30 PM,5:00 PM,6:45 PM,1:00 PM,9:00 AM
30,30-Jan,6:12 AM,6:17 AM,7:54 AM,12:23 PM,12:29 PM,3:12 PM,4:59 PM,5:02 PM,6:31 PM,7:00 AM,1:00 PM,3:30 PM,5:02 PM,6:45 PM,1:00 PM,9:00 AM
31,31-Jan,6:10 AM,6:15 AM,7:53 AM,12:23 PM,12:29 PM,3:12 PM,5:00 PM,5:03 PM,6:32 PM,7:00 AM,1:00 PM,3:30 PM,5:03 PM,6:45 PM,1:00 PM,9:00 AM
32,01-Feb,6:09 AM,6:14 AM,7:51 AM,12:23 PM,12:29 PM,3:15 PM,5:02 PM,5:05 PM,6:34 PM,7:00 AM,1:00 PM,3:45 PM,5:05 PM,7:00 PM,1:00 PM,9:00 AM
33,02-Feb,6:07 AM,6:12 AM,7:50 AM,12:23 PM,12:29 PM,3:17 PM,5:04 PM,5:07 PM,6:35 PM,7:00 AM,1:00 PM,3:45 PM,5:07 PM,7:00 PM,1:00 PM,9:00 AM
34,03-Feb,6:06 AM,6:11 AM,7:48 AM,12:23 PM,12:29 PM,3:19 PM,5:06 PM,5:09 PM,6:37 PM,7:00 AM,1:00 PM,3:45 PM,5:09 PM,7:00 PM,1:00 PM,9:00 AM
35,04-Feb,6:05 AM,6:10 AM,7:47 AM,12:23 PM,12:29 PM,3:20 PM,5:07 PM,5:10 PM,6:38 PM,7:00 AM,1:00 PM,3:45 PM,5:10 PM,7:00 PM,1:00 PM,9:00 AM
